n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,alert_rate_mean,alert_rate_std
100,0.03,3,3,0.85,0.6631746031746031,0.1441857093143116,0.8401709401709402,0.17486101678693228,0.7100553986776897,0.08525246687405283,0.7736589239626761,0.1172731530329305,0.8612451938793472,0.06049392460320879,0.10133333333333334,0.05119027685453991
100,0.03,3,3,1.0,0.6376811594202898,0.19681155499914887,0.8757264957264956,0.11149388374676612,0.7068293123701095,0.07494433032782848,0.7904624392812447,0.05365749734424548,0.8178993800794627,0.03691078327380169,0.11066666666666666,0.043532873912838686
100,0.03,3,5,0.7,0.5456349206349207,0.1770481768934519,0.9188888888888889,0.04181086160494841,0.6685714285714285,0.11899215639252363,0.7927455132083081,0.06369938857382239,0.8665349682465132,0.05625116205907411,0.13066666666666665,0.03968766950969925
100,0.03,3,5,0.85,0.6471861471861472,0.14993961291416144,0.8601709401709401,0.13627009057354517,0.7134070470293381,0.0659637282117073,0.7872641918732141,0.07956121852588284,0.8754566917952431,0.051377759204647454,0.10400000000000001,0.04393935214209088
100,0.03,3,5,1.0,0.5472039072039072,0.0575746084445753,0.9001709401709401,0.0644659784013784,0.6763746057863705,0.03839164754501122,0.7926597610124719,0.029104190052114925,0.8141768879585009,0.05871572532133859,0.12000000000000002,0.035276684147527874
100,0.05,2,1,0.7,0.6684210526315789,0.27226351908163293,0.8822222222222222,0.06798692684790378,0.7215007215007214,0.1491703396026106,0.7966562173458727,0.0576149055142968,0.9486622930113418,0.03788985487740497,0.10933333333333332,0.04393935214209088
100,0.05,2,1,0.85,0.6637728194726167,0.27547513730199735,0.8388888888888889,0.17427096823731245,0.6818689556320741,0.14210532887687163,0.7518461553212645,0.12250750680723657,0.9382063332695203,0.019730442771023173,0.10933333333333332,0.054258639865002144
100,0.05,2,1,1.0,0.6430994152046784,0.25883873324123907,0.9188888888888889,0.04181086160494841,0.7265414829062319,0.16838746555029102,0.8191460816896357,0.08323885304134551,0.9345564116152352,0.017715522017025104,0.11733333333333333,0.048184829332247076
100,0.05,2,3,0.7,0.5757912021432892,0.23950613812923552,0.8755555555555556,0.14646450714030296,0.6465846649845809,0.11295552795986695,0.7525855500522727,0.09097410667163772,0.9509298159105851,0.033928468241823474,0.12666666666666665,0.049351348062191325
100,0.05,2,3,0.85,0.539893376705521,0.23181271010669235,0.8555555555555555,0.18459164139817943,0.6012587412587412,0.0428959153294071,0.7169266273967103,0.08642363979894441,0.9413007254183725,0.025883758143070153,0.136,0.061042790092051186
100,0.05,2,3,1.0,0.7684033613445378,0.2853747859369427,0.8377777777777776,0.10922849535506228,0.751006216006216,0.1473899983118474,0.7823062862099948,0.055841623031195504,0.9374114567922618,0.02064618305799191,0.10133333333333332,0.07047773486081339
100,0.05,2,5,0.7,0.6214220377146074,0.12284746384975644,0.9355555555555555,0.05277485372016853,0.7409192957580054,0.10148921165909386,0.8438918718396675,0.07426143452671019,0.9519691931999624,0.0272167125594043,0.10933333333333332,0.019595917942265426
100,0.05,2,5,0.85,0.5492898913951546,0.22862369753193662,0.8555555555555555,0.18459164139817943,0.6106959706959707,0.052562966637800794,0.7235832004253058,0.09654845220939352,0.9354520362844541,0.01840751175162472,0.13066666666666665,0.05259488779550939
100,0.05,2,5,1.0,0.5602910380960985,0.22048916930123108,0.9155555555555555,0.07620634755325442,0.6652657284236232,0.11364133774252363,0.7857205976702832,0.038869995407202186,0.9241573088698056,0.007575747023493106,0.132,0.049062318647930925
100,0.05,3,1,0.7,0.5486291486291487,0.154093772331323,0.8555555555555555,0.18459164139817943,0.62902576489533,0.047478431381238466,0.736451643459316,0.10146908909706942,0.8650364096735735,0.0244584182388375,0.12666666666666665,0.060809356005287356
100,0.05,3,1,0.85,0.671965811965812,0.20422479124495982,0.7688888888888888,0.21388816738695046,0.662558618769145,0.09587772963185277,0.7107844901857732,0.1481995325162855,0.8512855784651394,0.05275497734275306,0.09466666666666666,0.0496028673006354
100,0.05,3,1,1.0,0.7342712842712842,0.0950316972904196,0.7444444444444444,0.1777777777777778,0.7197759103641457,0.07244232553390678,0.7289859339131456,0.12571751197751888,0.8666669486627496,0.031169310474583847,0.076,0.036417334089993765
100,0.05,3,3,0.7,0.5673918673918674,0.10820774173403229,0.9355555555555555,0.05277485372016853,0.6972681704260653,0.06962992409595521,0.8187709706046956,0.02520134938433256,0.8941421354340309,0.022573439954490217,0.12533333333333335,0.0448998886412873
100,0.05,3,3,0.85,0.6994755244755245,0.20422124805555153,0.8179487179487179,0.17431707222327064,0.7069524077573612,0.06596706836396657,0.7577916506487936,0.10135711782072067,0.8839400084162528,0.031880327167631665,0.09866666666666667,0.05356615847093511
100,0.05,3,3,1.0,0.6872222222222223,0.19082019201073125,0.768888888888889,0.22513644696735893,0.6664480695440448,0.06238743907253529,0.7104992718951529,0.13988501779265192,0.852688948261803,0.026313801275216795,0.09733333333333334,0.06104279009205118
100,0.05,3,5,0.7,0.609546218487395,0.1802299655367204,0.8435042735042735,0.1225548042104619,0.6779091546893404,0.09026625494181338,0.7590451015237661,0.07382678288280793,0.8884471855305189,0.019263751007334767,0.11199999999999999,0.04960286730063539
